gene_identifier	macM	macF	mouse	pig	human
gene_11221	VWA5B2	VWA5B2	Vwa5b2	VWA5B2	VWA5B2
gene_11222	METTL7B	METTL7B	Mettl7b	METTL7B	METTL7B
gene_11223	FBXO21	FBXO21	Fbxo21	FBXO21	FBXO21
gene_11224	H2AFX	H2AX	H2ax	H2AX	H2AX
gene_11225	APLNR	APLNR	Aplnr	APLNR	APLNR
gene_11226	CRYBA1	CRYBA1	Cryba1	CRYBA1	CRYBA1
gene_11227	HTR3B	HTR3B	Htr3b	HTR3B	HTR3B
gene_11228	IHO1	IHO1	Iho1	IHO1	IHO1
gene_11229	NUFIP2	NUFIP2	Nufip2	NUFIP2	NUFIP2
gene_11230	GMIP	GMIP	Gmip	GMIP	GMIP
gene_11231	MYH15	MYH15	Myh15	MYH15	MYH15
gene_11232	ADAMTS20	ADAMTS20	Adamts20	ADAMTS20	ADAMTS20
gene_11233	KCNK12	KCNK12	Kcnk12	KCNK12	KCNK12
gene_11234	FBXO11	FBXO11	Fbxo11	FBXO11	FBXO11
gene_11235	KHDRBS1	KHDRBS1	Khdrbs1	KHDRBS1	KHDRBS1
gene_11236	MCM2	MCM2	Mcm2	MCM2	MCM2
gene_11237	PALB2	PALB2	Palb2	PALB2	PALB2
gene_11238	ATP13A1	ATP13A1	Atp13a1	ATP13A1	ATP13A1
gene_11239	TMEM39B	TMEM39B	Tmem39b	TMEM39B	TMEM39B
gene_11240	NOS1	NOS1	Nos1	NOS1	NOS1
gene_11241	PODXL2	PODXL2	Podxl2	PODXL2	PODXL2
gene_11242	mml-mir-193b	MIR193B	Mir193b	MIR193B	MIR193B
gene_11243	MIR365A	MIR365A	Mir365-1	MIR365A	MIR365A
gene_11244	PARN	PARN	Parn	PARN	PARN
gene_11245	ABTB1	ABTB1	Abtb1	ABTB1	ABTB1
gene_11246	KPNA6	KPNA6	Kpna6	KPNA6	KPNA6
gene_11247	EIF2AK3	EIF2AK3	Eif2ak3	EIF2AK3	EIF2AK3
gene_11248	LPAR2	LPAR2	Lpar2	LPAR2	LPAR2
gene_11249	WNT3	WNT3	Wnt3	WNT3	WNT3
gene_11250	RTN2	RTN2	Rtn2	RTN2	RTN2
gene_11251	KBTBD12	KBTBD12	Kbtbd12	KBTBD12	KBTBD12
gene_11252	RSKR	RSKR	Rskr	RSKR	RSKR
gene_11253	MGLL	MGLL	Mgll	MGLL	MGLL
gene_11254	KDM2B	KDM2B	Kdm2b	KDM2B	KDM2B
gene_11255	CCDC28B	CCDC28B	Ccdc28b	CCDC28B	CCDC28B
gene_11256	HCLS1	HCLS1	Hcls1	HCLS1	HCLS1
gene_11257	DDX20	DDX20	Ddx20	DDX20	DDX20
gene_11258	PPM1N	PPM1N	Ppm1n	PPM1N	PPM1N
gene_11259	CERKL	CERKL	Cerkl	CERKL	CERKL
gene_11260	VASP	VASP	Vasp	VASP	VASP
gene_11261	IQCB1	IQCB1	Iqcb1	IQCB1	IQCB1
gene_11262	GTF2H1	GTF2H1	Gtf2h1	GTF2H1	GTF2H1
gene_11263	OPA3	OPA3	Opa3	OPA3	OPA3
gene_11264	MIR330	MIR330	Mir330	MIR330	MIR330
gene_11265	EAF2	EAF2	Eaf2	EAF2	EAF2
gene_11266	GIT2	GIT2	Git2	GIT2	GIT2
gene_11267	SDR42E1	SDR42E1	Sdr42e1	SDR42E1	SDR42E1
gene_11268	NEUROD1	NEUROD1	Neurod1	NEUROD1	NEUROD1
gene_11269	HSD17B2	HSD17B2	Hsd17b2	HSD17B2	HSD17B2
gene_11270	SLC15A2	SLC15A2	Slc15a2	SLC15A2	SLC15A2
gene_11271	GMPPA	GMPPA	Gmppa	GMPPA	GMPPA
gene_11272	DIPK1A	DIPK1A	Dipk1a	DIPK1A	DIPK1A
gene_11273	SNORD21	SNORD21	Snord21	SNORD21	SNORD21
gene_11274	SNORA66	SNORA66	Gm26387	SNORA66	SNORA66
gene_11275	U6	U6	U6	U6	RNU6-210P
gene_11276	MTF2	MTF2	Mtf2	MTF2	MTF2
gene_11277	MYLK	MYLK	Mylk	MYLK	MYLK
gene_11278	NOS2	NOS2	Nos2	NOS2	NOS2
gene_11279	SP3	SP3	Sp3	SP3	SP3
gene_11280	SLC5A5	SLC5A5	Slc5a5	SLC5A5	SLC5A5
gene_11281	SH2D5	SH2D5	Sh2d5	SH2D5	SH2D5
gene_11282	NLRP12	NLRP12	Nlrp12	NLRP12	NLRP12
gene_11283	HDLBP	HDLBP	Hdlbp	HDLBP	HDLBP
gene_11284	ECE1	ECE1	Ece1	ECE1	ECE1
gene_11285	PLCG2	PLCG2	Plcg2	PLCG2	PLCG2
gene_11286	CDV3	CDV3	Cdv3	CDV3	CDV3
gene_11287	KMT2E	KMT2E	Kmt2e	KMT2E	KMT2E
gene_11288	NCR1	NCR1	Ncr1	NCR1	NCR1
gene_11289	KCTD13	KCTD13	Kctd13	KCTD13	KCTD13
gene_11290	SUZ12	SUZ12	Suz12	SUZ12	SUZ12
gene_11291	TOPBP1	TOPBP1	Topbp1	TOPBP1	TOPBP1
gene_11292	SLX4	SLX4	Slx4	SLX4	SLX4
gene_11293	POU2AF1	POU2AF1	Pou2af1	POU2AF1	POU2AF1
gene_11294	SUSD4	SUSD4	Susd4	SUSD4	SUSD4
gene_11295	mml-mir-34c	MIR34C	Mir34c	ssc-mir-34c-1	MIR34C
gene_11296	SPINK8	SPINK8	Spink8	SPINK8	SPINK8
gene_11297	RSL1D1	RSL1D1	Rsl1d1	RSL1D1	RSL1D1
gene_11298	LAYN	LAYN	Layn	LAYN	LAYN
gene_11299	SHOX2	SHOX2	Shox2	SHOX2	SHOX2
gene_11300	DOC2B	DOC2B	Doc2b	DOC2B	DOC2B
gene_11301	ABCB9	ABCB9	Abcb9	ABCB9	ABCB9
gene_11302	ATP13A5	ATP13A5	Atp13a5	ATP13A5	ATP13A5
gene_11303	SIK2	SIK2	Sik2	SIK2	SIK2
gene_11304	ROBO1	ROBO1	Robo1	ROBO1	ROBO1
gene_11305	BTG4	BTG4	Btg4	BTG4	BTG4
gene_11306	U1	U1	Gm24624	U1	RNU1-74P
gene_11307	LRRIQ3	LRRIQ3	Lrriq3	LRRIQ3	LRRIQ3
gene_11308	HOATZ	HOATZ	Hoatz	HOATZ	HOATZ
gene_11309	GSPT1	GSPT1	Gspt1	GSPT1	GSPT1
gene_11310	SEPTIN14	SEPTIN14	Septin14	SEPTIN14	SEPTIN14
gene_11311	TMEM86A	TMEM86A	Tmem86a	TMEM86A	TMEM86A
gene_11312	FPGT	TNNI3K	Tnni3k	TNNI3K	TNNI3K
gene_11313	PTPN5	PTPN5	Ptpn5	PTPN5	PTPN5
gene_11314	IKZF2	IKZF2	Ikzf2	IKZF2	IKZF2
gene_11315	TNFRSF17	TNFRSF17	Tnfrsf17	TNFRSF17	TNFRSF17
gene_11316	DNAH3	DNAH3	Dnah3	DNAH3	DNAH3
gene_11317	P2RX4	P2RX4	P2rx4	P2RX4	P2RX4
gene_11318	C2H3orf49	C3orf49	Gm11100	C3orf49	C3orf49
gene_11319	KCNMB2	KCNMB2	Kcnmb2	KCNMB2	KCNMB2
gene_11320	JAM3	JAM3	Jam3	JAM3	JAM3
gene_11321	RAP1GAP2	RAP1GAP2	Rap1gap2	RAP1GAP2	RAP1GAP2
gene_11322	PTH2R	PTH2R	Pth2r	PTH2R	PTH2R
gene_11323	MMP15	MMP15	Mmp15	MMP15	MMP15
gene_11324	TYW3	TYW3	Tyw3	TYW3	TYW3
gene_11325	TRIB2	TRIB2	Trib2	TRIB2	TRIB2
gene_11326	KIFC3	KIFC3	Kifc3	KIFC3	KIFC3
gene_11327	MCCC1	MCCC1	Mccc1	MCCC1	MCCC1
gene_11328	VPS26B	VPS26B	Vps26b	VPS26B	VPS26B
gene_11329	CSAD	CSAD	Csad	CSAD	CSAD
gene_11330	ASTL	ASTL	Astl	ASTL	ASTL
gene_11331	THYN1	THYN1	Thyn1	THYN1	THYN1
gene_11332	MAST3	MAST3	Mast3	MAST3	MAST3
gene_11333	TRPV1	TRPV1	Trpv1	TRPV1	TRPV1
gene_11334	ACTN4	ACTN4	Actn4	ACTN4	ACTN4
gene_11335	ACAD8	ACAD8	Acad8	ACAD8	ACAD8
gene_11336	NAA50	NAA50	Naa50	NAA50	NAA50
gene_11337	ATM	ATM	Atm	ATM	ATM
gene_11338	CPNE9	CPNE9	Cpne9	CPNE9	CPNE9
gene_11339	HIF3A	HIF3A	Hif3a	HIF3A	HIF3A
gene_11340	USB1	USB1	Usb1	USB1	USB1
gene_11341	TMBIM4	TMBIM4	Tmbim4	TMBIM4	TMBIM4
gene_11342	NBEAL1	NBEAL1	Nbeal1	NBEAL1	NBEAL1
gene_11343	ZNF445	ZNF445	Zfp445	ZNF445	ZNF445
gene_11344	NKTR	NKTR	Nktr	NKTR	NKTR
gene_11345	CTNS	CTNS	Ctns	CTNS	CTNS
gene_11346	ACD	ACD	Acd	ACD	ACD
gene_11347	PPP5C	PPP5C	Ppp5c	PPP5C	PPP5C
gene_11348	METTL8	METTL8	Mettl8	METTL8	METTL8
gene_11349	GLB1L3	GLB1L3	Glb1l3	GLB1L3	GLB1L3
gene_11350	TAX1BP3	TAX1BP3	Tax1bp3	TAX1BP3	TAX1BP3
gene_11351	LARP4	LARP4	Larp4	LARP4	LARP4
gene_11352	SELENOT	SELENOT	Selenot	SELENOT	SELENOT
gene_11353	EMC6	EMC6	Emc6	EMC6	EMC6
gene_11354	P2RX5	P2RX5	P2rx5	P2RX5	P2RX5
gene_11355	PPP1R1C	PPP1R1C	Ppp1r1c	PPP1R1C	PPP1R1C
gene_11356	NOD2	NOD2	Nod2	NOD2	NOD2
gene_11357	DEAF1	DEAF1	Deaf1	DEAF1	DEAF1
gene_11358	ASPRV1	ASPRV1	Asprv1	ASPRV1	ASPRV1
gene_11359	SULT1C3	SULT1C3	Sult1c1	SULT1C3	SULT1C3
gene_11360	CCDC8	CCDC8	Ccdc8	CCDC8	CCDC8
gene_11361	RASA2	RASA2	Rasa2	RASA2	RASA2
gene_11362	PHKB	PHKB	Phkb	PHKB	PHKB
gene_11363	TICAM1	TICAM1	Ticam1	TICAM1	TICAM1
gene_11364	PLIN3	PLIN3	Plin3	PLIN3	PLIN3
gene_11365	MAP3K2	MAP3K2	Map3k2	MAP3K2	MAP3K2
gene_11366	PLD1	PLD1	Pld1	PLD1	PLD1
gene_11367	SHANK2	SHANK2	Shank2	SHANK2	SHANK2
gene_11368	ARRDC5	ARRDC5	Arrdc5	ARRDC5	ARRDC5
gene_11369	UHRF1	UHRF1	Uhrf1	UHRF1	UHRF1
gene_11370	ITGAE	ITGAE	Itgae	ITGAE	ITGAE
gene_11371	TAFA1	TAFA1	Tafa1	TAFA1	TAFA1
gene_11372	VEZT	VEZT	Vezt	VEZT	VEZT
gene_11373	SELENOK	SELENOK	Selenok	SELENOK	SELENOK
gene_11374	TCF3	TCF3	Tcf3	TCF3	TCF3
gene_11375	HASPIN	HASPIN	Haspin	HASPIN	HASPIN
gene_11376	SCAP	SCAP	Scap	SCAP	SCAP
gene_11377	PGS1	PGS1	Pgs1	PGS1	PGS1
gene_11378	IZUMO1R	IZUMO1R	Izumo1r	IZUMO1R	IZUMO1R
gene_11379	NCOA1	NCOA1	Ncoa1	NCOA1	NCOA1
gene_11380	NCAPD3	NCAPD3	Ncapd3	NCAPD3	NCAPD3
gene_11381	PTX4	PTX4	Ptx4	PTX4	PTX4
gene_11382	TELO2	TELO2	Telo2	TELO2	TELO2
gene_11383	H2AC20	H2AC20	H2ac20	H2AC20	H2AC20
gene_11384	H2AC21	H2AC21	H2ac21	H2AC21	H2AC21
gene_11385	BOLA1	BOLA1	Bola1	BOLA1	BOLA1
gene_11386	SV2A	SV2A	Sv2a	SV2A	SV2A
gene_11387	CLCN7	CLCN7	Clcn7	CLCN7	CLCN7
gene_11388	SF3B4	SF3B4	Sf3b4	SF3B4	SF3B4
gene_11389	FCGR1A	FCGR1A	Fcgr1	FCGR1A	FCGR1A
gene_11390	MAP2	MAP2	Map2	MAP2	MAP2
gene_11391	CCDC174	CCDC174	Ccdc174	CCDC174	CCDC174
gene_11392	KIF21B	KIF21B	Kif21b	KIF21B	KIF21B
gene_11393	PHF7	PHF7	Phf7	PHF7	PHF7
gene_11394	MDM2	MDM2	Mdm2	MDM2	MDM2
gene_11395	WNT9B	WNT9B	Wnt9b	WNT9B	WNT9B
gene_11396	GOSR2	GOSR2	Gosr2	GOSR2	GOSR2
gene_11397	WDR6	WDR6	Wdr6	WDR6	WDR6
gene_11398	AP2A2	AP2A2	Ap2a2	AP2A2	AP2A2
gene_11399	FAM126B	FAM126B	Fam126b	FAM126B	FAM126B
gene_11400	CEBPG	CEBPG	Cebpg	CEBPG	CEBPG
gene_11401	OAZ1	OAZ1	Oaz1	OAZ1	OAZ1
gene_11402	FAHD1	FAHD1	Fahd1	FAHD1	FAHD1
gene_11403	TMEM9	TMEM9	Tmem9	TMEM9	TMEM9
gene_11404	TKT	TKT	Tkt	TKT	TKT
gene_11405	PRODH2	PRODH2	Prodh2	PRODH2	PRODH2
gene_11406	DHCR7	DHCR7	Dhcr7	DHCR7	DHCR7
gene_11407	PET100	PET100	Pet100	PET100	PET100
gene_11408	STXBP2	STXBP2	Stxbp2	STXBP2	STXBP2
gene_11409	IWS1	IWS1	Iws1	IWS1	IWS1
gene_11410	PRSS53	PRSS53	Prss53	PRSS53	PRSS53
gene_11411	CACNA1S	CACNA1S	Cacna1s	CACNA1S	CACNA1S
gene_11412	PABPN1L	PABPN1L	Pabpn1l	PABPN1L	PABPN1L
gene_11413	CIP2A	CIP2A	Cip2a	CIP2A	CIP2A
gene_11414	LIMS2	LIMS2	Lims2	LIMS2	LIMS2
gene_11415	DOK4	DOK4	Dok4	DOK4	DOK4
gene_11416	PEPD	PEPD	Pepd	PEPD	PEPD
gene_11417	CRBN	CRBN	Crbn	CRBN	CRBN
gene_11418	FOXRED1	FOXRED1	Foxred1	FOXRED1	FOXRED1
gene_11419	SAMD13	SAMD13	Samd13	SAMD13	SAMD13
gene_11420	CNTN3	CNTN3	Cntn3	CNTN3	CNTN3
gene_11421	TSPAN4	TSPAN4	Tspan4	TSPAN4	TSPAN4
gene_11422	NQO1	NQO1	Nqo1	NQO1	NQO1
gene_11423	MTR	MTR	Mtr	MTR	MTR
gene_11424	LEKR1	LEKR1	Lekr1	LEKR1	LEKR1
gene_11425	PPM1E	PPM1E	Ppm1e	PPM1E	PPM1E
gene_11426	ACSM4	ACSM4	Acsm4	ACSM4	ACSM4
gene_11427	ADPRH	ADPRH	Adprh	ADPRH	ADPRH
gene_11428	RAD51C	RAD51C	Rad51c	RAD51C	RAD51C
gene_11429	NOB1	NOB1	Nob1	NOB1	NOB1
gene_11430	SRP9	SRP9	Srp9	SRP9	SRP9
gene_11431	NFAT5	NFAT5	Nfat5	NFAT5	NFAT5
gene_11432	ITIH3	ITIH3	Itih3	ITIH3	ITIH3
gene_11433	STRADA	STRADA	Strada	STRADA	STRADA
gene_11434	FAM187B	FAM187B	Fam187b	FAM187B	FAM187B
gene_11435	GPR17	GPR17	Gpr17	GPR17	GPR17
gene_11436	TAF10	TAF10	Taf10	TAF10	TAF10
gene_11437	ALMS1	ALMS1	Alms1	ALMS1	ALMS1
gene_11438	TMEM216	TMEM216	Tmem216	TMEM216	TMEM216
gene_11439	GPR141	GPR141	Gpr141	GPR141	GPR141
gene_11440	DENND2B	DENND2B	Denn2b	DENND2B	DENND2B
gene_11441	EPDR1	EPDR1	Epdr1	EPDR1	EPDR1
gene_11442	HDAC4	HDAC4	Hdac4	HDAC4	HDAC4
gene_11443	TARDBP	TARDBP	Tardbp	TARDBP	TARDBP
gene_11444	NME8	NME8	Nme8	NME8	NME8
gene_11445	POLR2H	POLR2H	Polr2h	POLR2H	POLR2H
gene_11446	HAMP	HAMP	Hamp	HAMP	HAMP
gene_11447	POU6F1	POU6F1	Pou6f1	POU6F1	POU6F1
gene_11448	CNOT10	CNOT10	Cnot10	CNOT10	CNOT10
gene_11449	CA5A	CA5A	Car5a	CA5A	CA5A
gene_11450	CLEC1B	CLEC1B	Clec1b	CLEC1B	CLEC1B
gene_11451	ID2	ID2	Id2	ID2	ID2
gene_11452	BANP	BANP	Banp	BANP	BANP
gene_11453	MBOAT2	MBOAT2	Mboat2	MBOAT2	MBOAT2
gene_11454	LSR	LSR	Lsr	LSR	LSR
gene_11455	KCNE4	KCNE4	Kcne4	KCNE4	KCNE4
gene_11456	PIWIL1	PIWIL1	Piwil1	PIWIL1	PIWIL1
gene_11457	MST1	MST1	Mst1	MST1	MST1
gene_11458	KIDINS220	KIDINS220	Kidins220	KIDINS220	KIDINS220
gene_11459	EXOSC10	EXOSC10	Exosc10	EXOSC10	EXOSC10
gene_11460	UTS2B	UTS2B	Uts2b	UTS2B	UTS2B
gene_11461	STX2	STX2	Stx2	STX2	STX2
gene_11462	BEAN1	BEAN1	Bean1	BEAN1	BEAN1
gene_11463	SLC25A26	SLC25A26	Slc25a26	SLC25A26	SLC25A26
gene_11464	SYF2	SYF2	Syf2	SYF2	SYF2
gene_11465	USP7	USP7	Usp7	USP7	USP7
gene_11466	RSRP1	RSRP1	Rsrp1	RSRP1	RSRP1
gene_11467	LYPD4	LYPD4	Lypd4	LYPD4	LYPD4
gene_11468	SNORA62	SNORA62	Snora62	SNORA62	SNORA62
gene_11469	DMRTC2	DMRTC2	Dmrtc2	DMRTC2	DMRTC2
gene_11470	SBF2	SBF2	Sbf2	SBF2	SBF2
gene_11471	MED12L	MED12L	Med12l	MED12L	MED12L
gene_11472	RIMBP2	RIMBP2	Rimbp2	RIMBP2	RIMBP2
gene_11473	RABAC1	RABAC1	Rabac1	RABAC1	RABAC1
gene_11474	YIPF4	YIPF4	Yipf4	YIPF4	YIPF4
gene_11475	TTC27	TTC27	Ttc27	TTC27	TTC27
gene_11476	ATP1A3	ATP1A3	Atp1a3	ATP1A3	ATP1A3
gene_11477	ATG16L1	ATG16L1	Atg16l1	ATG16L1	ATG16L1
gene_11478	CCDC47	CCDC47	Ccdc47	CCDC47	CCDC47
gene_11479	RXYLT1	RXYLT1	Rxylt1	RXYLT1	RXYLT1
gene_11480	SETD2	SETD2	Setd2	SETD2	SETD2
gene_11481	MORN3	MORN3	Morn3	MORN3	MORN3
gene_11482	DDX42	DDX42	Ddx42	DDX42	DDX42
gene_11483	TMEM120B	TMEM120B	Tmem120b	TMEM120B	TMEM120B
gene_11484	RHOF	RHOF	Rhof	RHOF	RHOF
gene_11485	VPS11	VPS11	Vps11	VPS11	VPS11
gene_11486	FTSJ3	FTSJ3	Ftsj3	FTSJ3	FTSJ3
gene_11487	CD79A	CD79A	Cd79a	CD79A	CD79A
gene_11488	AGAP2	AGAP2	Agap2	AGAP2	AGAP2
gene_11489	C14H11orf53	C11orf53	1810046K07Rik	C11orf53	C11orf53
gene_11490	mml-mir-26a-2	MIR26A2	Mir26a-2	ssc-mir-26a	MIR26A2
gene_11491	BICDL1	BICDL1	Bicdl1	BICDL1	BICDL1
gene_11492	ABCF3	ABCF3	Abcf3	ABCF3	ABCF3
gene_11493	RAB35	RAB35	Rab35	RAB35	RAB35
gene_11494	SAG	SAG	Sag	SAG	SAG
gene_11495	DNASE2	DNASE2	Dnase2a	DNASE2	DNASE2
gene_11496	C1QTNF5	C1QTNF5	C1qtnf5	C1QTNF5	C1QTNF5
gene_11497	GCN1	GCN1	Gcn1	GCN1	GCN1
gene_11498	MFRP	MFRP	Mfrp	MFRP	MFRP
gene_11499	USP2	USP2	Usp2	USP2	USP2
gene_11500	ARHGEF1	ARHGEF1	Arhgef1	ARHGEF1	ARHGEF1
gene_11501	DGKD	DGKD	Dgkd	DGKD	DGKD
gene_11502	ZNF385C	ZNF385C	Zfp385c	ZNF385C	ZNF385C
gene_11503	CCDC153	CCDC153	Ccdc153	CCDC153	CCDC153
gene_11504	USP40	USP40	Usp40	USP40	USP40
gene_11505	CCND1	CCND1	Ccnd1	CCND1	CCND1
gene_11506	LTO1	LTO1	LTO1	LTO1	LTO1
gene_11507	FGF19	FGF19	Fgf15	FGF19	FGF19
gene_11508	FGF4	FGF4	Fgf4	FGF4	FGF4
gene_11509	CXCR5	CXCR5	Cxcr5	CXCR5	CXCR5
gene_11510	BCL9L	BCL9L	Bcl9l	BCL9L	BCL9L
gene_11511	PXN	PXN	Pxn	PXN	PXN
gene_11512	UPK2	UPK2	Upk2	UPK2	UPK2
gene_11513	FOXR1	FOXR1	Foxr1	FOXR1	FOXR1
gene_11514	TMEM50A	TMEM50A	Tmem50a	TMEM50A	TMEM50A
gene_11515	MYO19	MYO19	Myo19	MYO19	MYO19
gene_11516	HMBS	HMBS	Hmbs	HMBS	HMBS
gene_11517	MACO1	MACO1	Maco1	MACO1	MACO1
gene_11518	ABCC5	ABCC5	Abcc5	ABCC5	ABCC5
gene_11519	TSEN15	TSEN15	Tsen15	TSEN15	TSEN15
gene_11520	LRRC71	LRRC71	Lrrc71	LRRC71	LRRC71
gene_11521	COG4	COG4	Cog4	COG4	COG4
gene_11522	NTRK1	NTRK1	Ntrk1	NTRK1	NTRK1
gene_11523	U4	U4	Gm24407	U4	RNU4-2
gene_11524	PIGW	PIGW	Pigw	PIGW	PIGW
gene_11525	CRX	CRX	Crx	CRX	CRX
gene_11526	ERC1	ERC1	Erc1	ERC1	ERC1
gene_11527	FCHO1	FCHO1	Fcho1	FCHO1	FCHO1
gene_11528	MOGS	MOGS	Mogs	MOGS	MOGS
gene_11529	TP53	TP53	Trp53	TP53	TP53
gene_11530	IL1R2	IL1R2	Il1r2	IL1R2	IL1R2
gene_11531	CLEC16A	CLEC16A	Clec16a	CLEC16A	CLEC16A
gene_11532	DVL3	DVL3	Dvl3	DVL3	DVL3
gene_11533	BHLHE41	BHLHE41	Bhlhe41	BHLHE41	BHLHE41
gene_11534	RASSF8	RASSF8	Rassf8	RASSF8	RASSF8
gene_11535	GREM2	GREM2	Grem2	GREM2	GREM2
gene_11536	WDR12	WDR12	Wdr12	WDR12	WDR12
gene_11537	HNRNPR	HNRNPR	Hnrnpr	HNRNPR	HNRNPR
gene_11538	AP2M1	AP2M1	Ap2m1	AP2M1	AP2M1
gene_11539	AVIL	AVIL	Avil	AVIL	AVIL
gene_11540	CELF1	CELF1	Celf1	CELF1	CELF1
gene_11541	ADAMTSL4	ADAMTSL4	Adamtsl4	ADAMTSL4	ADAMTSL4
gene_11542	U6	U6	Gm24517	U6	RNU6-700P
gene_11543	ACTRT3	ACTRT3	Actrt3	ACTRT3	ACTRT3
gene_11544	NOP58	NOP58	Nop58	NOP58	NOP58
gene_11545	MYNN	MYNN	Mynn	MYNN	MYNN
gene_11546	LRRC34	LRRC34	Lrrc34	LRRC34	LRRC34
gene_11547	PTP4A2	PTP4A2	Ptp4a2	PTP4A2	PTP4A2
gene_11548	CD69	CD69	Cd69	CD69	CD69
gene_11549	SNORD70B	SNORD70B	Gm26293	SNORD70B	SNORD70B
gene_11550	SNORD11B	SNORD11B	Gm26287	SNORD11B	SNORD11B
gene_11551	SNORD11	SNORD11	Snord11	SNORD11	SNORD11
gene_11552	BMPR2	BMPR2	Bmpr2	BMPR2	BMPR2
gene_11553	MS4A1	MS4A1	Ms4a1	MS4A1	MS4A1
gene_11554	LRRC31	LRRC31	Lrrc31	LRRC31	LRRC31
gene_11555	FNBP1L	FNBP1L	Fnbp1l	FNBP1L	FNBP1L
gene_11556	SAMD7	SAMD7	Samd7	SAMD7	SAMD7
gene_11557	ZFYVE9	ZFYVE9	Zfyve9	ZFYVE9	ZFYVE9
gene_11558	FAM117B	FAM117B	Fam117b	FAM117B	FAM117B
gene_11559	SEC62	SEC62	Sec62	SEC62	SEC62
gene_11560	CLEC12A	CLEC12A	Clec12a	CLEC12A	CLEC12A
gene_11561	ZNF512	ZNF512	Zfp512	ZNF512	ZNF512
gene_11562	PDPN	PDPN	Pdpn	PDPN	PDPN
gene_11563	SMIM35	SMIM35	BC049352	SMIM35	SMIM35
gene_11564	TMEM138	TMEM138	Tmem138	TMEM138	TMEM138
gene_11565	GPR160	GPR160	Gpr160	GPR160	GPR160
gene_11566	CHFR	CHFR	Chfr	CHFR	CHFR
gene_11567	TMCO4	TMCO4	Tmco4	TMCO4	TMCO4
gene_11568	LMO1	LMO1	Lmo1	LMO1	LMO1
gene_11569	LRRIQ4	LRRIQ4	Lrriq4	LRRIQ4	LRRIQ4
gene_11570	GPN1	GPN1	Gpn1	GPN1	GPN1
gene_11571	STK33	STK33	Stk33	STK33	STK33
gene_11572	GRM2	GRM2	Grm2	GRM2	GRM2
gene_11573	TMC8	TMC8	Tmc8	TMC8	TMC8
gene_11574	IQCF6	IQCF6	Iqcf6	IQCF6	IQCF6
gene_11575	IQCF3	IQCF3	Iqcf3	IQCF3	IQCF3
gene_11576	NCBP2	NCBP2	Ncbp2	NCBP2	NCBP2
gene_11577	ADGRB2	ADGRB2	Adgrb2	ADGRB2	ADGRB2
gene_11578	SUPT7L	SUPT7L	Supt7l	SUPT7L	SUPT7L
gene_11579	ADRA2B	ADRA2B	Adra2b	ADRA2B	ADRA2B
gene_11580	CARNS1	CARNS1	Carns1	CARNS1	CARNS1
gene_11581	ZNF605	ZNF605	Zfp605	ZNF605	ZNF605
gene_11582	TSC22D2	TSC22D2	Tsc22d2	TSC22D2	TSC22D2
gene_11583	CD79B	CD79B	Cd79b	CD79B	CD79B
gene_11584	COL6A6	COL6A6	Col6a6	COL6A6	COL6A6
gene_11585	ANKRD42	ANKRD42	Ankrd42	ANKRD42	ANKRD42
gene_11586	DENND5B	DENND5B	Dennd5b	DENND5B	DENND5B
gene_11587	PCF11	PCF11	Pcf11	PCF11	PCF11
gene_11588	FOXN1	FOXN1	Foxn1	FOXN1	FOXN1
gene_11589	WRAP53	WRAP53	Wrap53	WRAP53	WRAP53
gene_11590	SNRK	SNRK	Snrk	SNRK	SNRK
gene_11591	GOLGA3	GOLGA3	Golga3	GOLGA3	GOLGA3
gene_11592	SYT8	SYT8	Syt8	SYT8	SYT8
gene_11593	POMGNT2	POMGNT2	Pomgnt2	POMGNT2	POMGNT2
gene_11594	HRH1	HRH1	Hrh1	HRH1	HRH1
gene_11595	NTNG1	NTNG1	Ntng1	NTNG1	NTNG1
gene_11596	ATG7	ATG7	Atg7	ATG7	ATG7
gene_11597	TMC6	TMC6	Tmc6	TMC6	TMC6
gene_11598	PKP4	PKP4	Pkp4	PKP4	PKP4
gene_11599	PRKACA	PRKACA	Prkaca	PRKACA	PRKACA
gene_11600	VGLL4	VGLL4	Vgll4	VGLL4	VGLL4
gene_11601	IMMT	IMMT	Immt	IMMT	IMMT
gene_11602	PAX6	PAX6	Pax6	PAX6	PAX6
gene_11603	STAT5B	STAT5B	Stat5b	STAT5B	STAT5B
gene_11604	ILF3	ILF3	Ilf3	ILF3	ILF3
gene_11605	CYBC1	CYBC1	Cybc1	CYBC1	CYBC1
gene_11606	ACTR2	ACTR2	Actr2	ACTR2	ACTR2
gene_11607	CLK1	CLK1	Clk1	CLK1	CLK1
gene_11608	RASAL1	RASAL1	Rasal1	RASAL1	RASAL1
gene_11609	RPTOR	RPTOR	Rptor	RPTOR	RPTOR
gene_11610	CAB39	CAB39	Cab39	CAB39	CAB39
gene_11611	RARB	RARB	Rarb	RARB	RARB
gene_11612	XIRP2	XIRP2	Xirp2	XIRP2	XIRP2
gene_11613	ATF2	ATF2	Atf2	ATF2	ATF2
gene_11614	R3HDM2	R3HDM2	R3hdm2	R3HDM2	R3HDM2
gene_11615	LPO	LPO	Lpo	LPO	LPO
gene_11616	TYK2	TYK2	Tyk2	TYK2	TYK2
gene_11617	MPO	MPO	Mpo	MPO	MPO
